"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_4382","4382","Charges fiscales sur congés à payer","l10n_tn.pcg_438","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4386","4386","Autres charges à payer","l10n_tn.pcg_438","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4387","4387","Produits à recevoir","l10n_tn.pcg_438","Regular","account.data_account_type_asset","True"
"l10n_tn.pcg_44","44","Sociétés du groupe & associés","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_441","441","Groupe","l10n_tn.pcg_44","view","account.data_account_type_view","True"
"l10n_tn.pcg_442","442","Associés - comptes courants","l10n_tn.pcg_44","view","account.data_account_type_view","True"
"l10n_tn.pcg_4421","4421","Principal","l10n_tn.pcg_442","Payable","account.data_account_type_payable","True"
"l10n_tn.pcg_4428","4428","Intérêts courus","l10n_tn.pcg_442","Payable","account.data_account_type_payable","True"
"l10n_tn.pcg_446","446","Associés - opérations sur le capital","l10n_tn.pcg_44","view","account.data_account_type_view","True"
"l10n_tn.pcg_447","447","Associés - dividendes à payer","l10n_tn.pcg_44","view","account.data_account_type_view","True"
"l10n_tn.pcg_448","448","Associés - opérations faites en commun","l10n_tn.pcg_44","view","account.data_account_type_view","True"
"l10n_tn.pcg_4481","4481","Opérations courantes","l10n_tn.pcg_448","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_4488","4488","Intérêts courus","l10n_tn.pcg_448","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_45","45","Débiteurs divers et Créditeurs divers","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_452","452","Créances sur cessions d'immobilisations","l10n_tn.pcg_45","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_453","453","Sécurité sociale et autres organismes sociaux","l10n_tn.pcg_45","view","account.data_account_type_view","True"
"l10n_tn.pcg_4531","4531","Organismes sociaux","l10n_tn.pcg_453","view","account.data_account_type_view","True"
"l10n_tn.pcg_45311","45311","CNSS","l10n_tn.pcg_4531","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_45318","45318","Autres","l10n_tn.pcg_4531","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4538","4538","Organismes sociaux - charges à payer et produits à recevoir","l10n_tn.pcg_453","view","account.data_account_type_view","True"
